check	command_json	exit	log
policy-second	"./bin/traitor verify srv-hatchi policy"	0	/tmp/srv-hatchi-implementation/policy-second.log
deploy-schema-local	"nix eval --json .#deploy > /tmp/srv-hatchi-implementation/deploy.json && nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#check-jsonschema --command check-jsonschema --schemafile /nix/store/sh6nxgzz3f4d84lry0yqhk61382qp78h-source/interface.json /tmp/srv-hatchi-implementation/deploy.json"	0	/tmp/srv-hatchi-implementation/deploy-schema-local.log
format-final-code	"nix fmt -- flake.nix hosts/srv-hatchi tests/srv-hatchi bin/traitor"	0	/tmp/srv-hatchi-implementation/format-final-code.log
hachi-rejection	"./bin/traitor deploy srv-hatchi --dry-run"	1	/tmp/srv-hatchi-implementation/hachi-rejection.log
final-local-checks	"traitor check --print-build-logs && traitor check --all-systems --no-build --print-build-logs && python3 -c 'import ast, pathlib; [ast.parse(p.read_text(), filename=str(p)) for d in [\"tests/srv-hatchi\", \"hosts/srv-hatchi\"] for p in pathlib.Path(d).rglob(\"*.py\")]' && nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml && git diff --check && git diff --cached --check"	0	/tmp/srv-hatchi-implementation/final-local-checks.log
final-safety-facts	"python3 - <<'PY'\nimport json, pathlib, subprocess\nbefore=json.loads(subprocess.check_output([\"git\",\"show\",\"HEAD:flake.lock\"]))\nafter=json.loads(pathlib.Path(\"flake.lock\").read_text())\nfor name, node in before[\"nodes\"][\"root\"][\"inputs\"].items():\n    assert before[\"nodes\"][node][\"locked\"] == after[\"nodes\"][after[\"nodes\"][\"root\"][\"inputs\"][name]][\"locked\"], name\nprint(\"All existing root input pins are unchanged\")\nchanged=subprocess.check_output([\"git\",\"diff\",\"HEAD\",\"--name-only\"],text=True).splitlines()\nassert not any(path.startswith((\"hosts/srv-nana/\", \"hosts/dkumlin-\", \"modules/home/\", \"modules/nixos/\")) for path in changed)\nprint(\"Existing host and reusable module files are unchanged\")\nPY\ntraitor check --print-build-logs && traitor check --all-systems --no-build --print-build-logs && git diff --cached --check"	0	/tmp/srv-hatchi-implementation/final-safety-facts.log
fixes-runner	"uname -sm; nix config show | grep -E \"^(builders|system|extra-platforms|system-features) =\"; if test -f /etc/nix/machines; then echo \"Builder file exists\"; else echo \"No builder file. No safe configured x86 Linux/KVM executor.\"; fi"	0	/tmp/srv-hatchi-fixes/runner.log
fixes-helpers-build	"nix build --no-link --print-build-logs --impure --expr 'let f = builtins.getFlake (toString ./.); pkgs = import f.inputs.nixpkgs { system = builtins.currentSystem; }; in [ (import ./hosts/srv-hatchi/adguard-credentials.nix { inherit pkgs; }) (import ./hosts/srv-hatchi/services/qbittorrent-config.nix { inherit pkgs; domain = \"chateauducipieres.com\"; }) ]'"	0	/tmp/srv-hatchi-fixes/helpers-build.log
fixes-policy-first	"./bin/traitor verify srv-hatchi policy"	1	/tmp/srv-hatchi-fixes/policy-first.log
fixes-policy-second	"./bin/traitor verify srv-hatchi policy"	1	/tmp/srv-hatchi-fixes/policy-second.log
fixes-policy-third	"./bin/traitor verify srv-hatchi policy"	0	/tmp/srv-hatchi-fixes/policy-third.log
fixes-eval-first	"nix eval --raw .#nixosConfigurations.srv-hatchi.config.system.build.toplevel.drvPath && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.toplevel.drvPath && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.drvPath && nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.drvPath"	0	/tmp/srv-hatchi-fixes/eval-first.log
fixes-test-script-shape	"nix eval --json .#checks.x86_64-linux.srv-hatchi-services --apply builtins.attrNames"	0	/tmp/srv-hatchi-fixes/test-script-shape.log
fixes-format-first	"nix fmt -- flake.nix hosts/srv-hatchi tests/srv-hatchi bin/traitor"	1	/tmp/srv-hatchi-fixes/format-first.log
fixes-inline-syntax	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScript > /tmp/srv-hatchi-fixes/services-test.txt && python3 -c 'import ast,pathlib; ast.parse(pathlib.Path(\"/tmp/srv-hatchi-fixes/services-test.txt\").read_text()); print(\"Inline service driver syntax passed\")'"	0	/tmp/srv-hatchi-fixes/inline-syntax.log
fixes-format-second	"nix fmt -- flake.nix hosts/srv-hatchi tests/srv-hatchi bin/traitor"	0	/tmp/srv-hatchi-fixes/format-second.log
fixes-no-python	"find . -path ./.git -prune -o -name '*.py' -print; test -z \"$(git diff HEAD --name-only -- '*.py')\"; test -z \"$(find hosts/srv-hatchi tests/srv-hatchi -name '*.py' -print)\""	0	/tmp/srv-hatchi-fixes/no-python.log
fixes-actionlint	"nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	1	/tmp/srv-hatchi-fixes/actionlint.log
fixes-app-rejection	"set +e; nix run .#srv-hatchi-install-vm -- --store-paths /nix/store/refused /nix/store/refused; status=$?; printf \"VM-only CLI exit %s\\\\n\" \"$status\"; test \"$status\" = 2"	0	/tmp/srv-hatchi-fixes/app-rejection.log
fixes-focused-final	"nix fmt -- flake.nix hosts/srv-hatchi tests/srv-hatchi bin/traitor && ./bin/traitor verify srv-hatchi policy && nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	0	/tmp/srv-hatchi-fixes/focused-final.log
fixes-traitor-check	"traitor check --print-build-logs"	0	/tmp/srv-hatchi-fixes/traitor-check.log
fixes-all-output-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/srv-hatchi-fixes/all-output-eval.log
fixes-inline-drivers	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScript > /tmp/srv-hatchi-fixes/services-test.txt && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.config.testScript > /tmp/srv-hatchi-fixes/install-test.txt && python3 -c 'import ast,pathlib; [ast.parse(pathlib.Path(\"/tmp/srv-hatchi-fixes/\" + name + \"-test.txt\").read_text()) for name in [\"services\", \"install\"]]; print(\"Both evaluated inline drivers parse\")'"	1	/tmp/srv-hatchi-fixes/inline-drivers.log
fixes-deploy-schema	"nix eval --json .#deploy > /tmp/srv-hatchi-fixes/deploy.json && nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#check-jsonschema --command check-jsonschema --schemafile /nix/store/sh6nxgzz3f4d84lry0yqhk61382qp78h-source/interface.json /tmp/srv-hatchi-fixes/deploy.json"	0	/tmp/srv-hatchi-fixes/deploy-schema.log
fixes-hachi-rejection	"./bin/traitor deploy srv-hatchi --dry-run"	1	/tmp/srv-hatchi-fixes/hachi-rejection.log
fixes-immutable-inputs	"git show HEAD:flake.lock > /tmp/srv-hatchi-fixes/before.lock; jq -e --slurpfile before /tmp/srv-hatchi-fixes/before.lock '. as $after | $before[0] as $before | all($before.nodes.root.inputs | to_entries[]; . as $input | $before.nodes[$input.value].locked == $after.nodes[$after.nodes.root.inputs[$input.key]].locked)' flake.lock && test -z \"$(git diff HEAD --name-only -- hosts/srv-nana 'hosts/dkumlin-*' modules/home modules/nixos)\""	0	/tmp/srv-hatchi-fixes/immutable-inputs.log
fixes-decision-prefix	"head -n \"$(wc -l < /tmp/srv-hatchi-fixes/decisions-inherited.tsv)\" docs/srv-hatchi/decisions.tsv | cmp /tmp/srv-hatchi-fixes/decisions-inherited.tsv -"	0	/tmp/srv-hatchi-fixes/decision-prefix.log
fixes-inline-drivers-corrected	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScriptString > /tmp/srv-hatchi-fixes/services-test.txt && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.config.testScriptString > /tmp/srv-hatchi-fixes/install-test.txt && python3 -c 'import ast,pathlib; [ast.parse(pathlib.Path(\"/tmp/srv-hatchi-fixes/\" + name + \"-test.txt\").read_text()) for name in [\"services\", \"install\"]]; print(\"Both evaluated inline drivers parse\")'"	0	/tmp/srv-hatchi-fixes/inline-drivers-corrected.log
fixes-app-rejection-final	"set +e; nix run .#srv-hatchi-install-vm -- --store-paths /nix/store/refused /nix/store/refused; status=$?; printf \"VM-only CLI exit %s\\\\n\" \"$status\"; test \"$status\" = 2"	0	/tmp/srv-hatchi-fixes/app-rejection-final.log
fixes-strict-credentials	"./bin/traitor verify srv-hatchi policy"	0	/tmp/srv-hatchi-fixes/strict-credentials.log
fixes-format-final	"nix fmt -- flake.nix hosts/srv-hatchi tests/srv-hatchi bin/traitor"	0	/tmp/srv-hatchi-fixes/format-final.log
fixes-code-digest	"git ls-files flake.nix flake.lock bin/traitor .github/workflows/nix-ci.yml hosts/srv-hatchi tests/srv-hatchi | LC_ALL=C sort | while IFS= read -r file; do shasum -a 256 \"$file\"; done > /tmp/srv-hatchi-fixes/code-files.sha256; shasum -a 256 /tmp/srv-hatchi-fixes/code-files.sha256"	0	/tmp/srv-hatchi-fixes/code-digest.log
fixes-final-local	"traitor check --print-build-logs && traitor check --all-systems --no-build --print-build-logs && nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml && git diff --check && git diff --cached --check"	0	/tmp/srv-hatchi-fixes/final-local.log
fixes-final-safety	"find . -path ./.git -prune -o -name '*.py' -print; test -z \"$(git diff HEAD --name-only -- '*.py')\" && test -z \"$(git ls-files --others --exclude-standard -- '*.py')\" && test -z \"$(find hosts/srv-hatchi tests/srv-hatchi -name '*.py' -print)\" && shasum -a 256 --check /tmp/srv-hatchi-fixes/code-files.sha256 && head -n \"$(wc -l < /tmp/srv-hatchi-fixes/decisions-inherited.tsv)\" docs/srv-hatchi/decisions.tsv | cmp /tmp/srv-hatchi-fixes/decisions-inherited.tsv -"	0	/tmp/srv-hatchi-fixes/final-safety.log
astra-policy	"./bin/traitor verify srv-hatchi policy"	0	/tmp/hatchi-astra/policy.log
astra-app-rejection	"status=0; nix run .#srv-hatchi-install-vm -- --store-paths /nix/store/refused /nix/store/refused || status=$?; test \"$status\" = 2"	0	/tmp/hatchi-astra/app-rejection.log
astra-deploy-rejection	"status=0; ./bin/traitor deploy srv-hatchi --dry-run || status=$?; test \"$status\" = 1"	0	/tmp/hatchi-astra/deploy-rejection.log
astra-actionlint	"nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	0	/tmp/hatchi-astra/actionlint.log
astra-immutable-inputs	"git show c6de1f6:flake.lock > /tmp/hatchi-astra/base.lock; jq -e --slurpfile before /tmp/hatchi-astra/base.lock '. as $after | $before[0] as $before | all($before.nodes.root.inputs | to_entries[]; . as $input | $before.nodes[$input.value].locked == $after.nodes[$after.nodes.root.inputs[$input.key]].locked)' flake.lock && test -z \"$(git diff c6de1f6 --name-only -- hosts/srv-nana \"hosts/dkumlin-*\" modules/home modules/nixos)\" && test -z \"$(git diff c6de1f6 --name-only -- \"*.py\")\""	0	/tmp/hatchi-astra/immutable-inputs.log
astra-traitor-check	"traitor check --print-build-logs"	0	/tmp/hatchi-astra/traitor-check.log
astra-all-output-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/all-output-eval.log
astra-inline-drivers	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScriptString > /tmp/hatchi-astra/services-driver.txt && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.config.testScriptString > /tmp/hatchi-astra/install-driver.txt && python3 -c 'import ast,pathlib; [ast.parse(pathlib.Path(\"/tmp/hatchi-astra/\" + name + \"-driver.txt\").read_text()) for name in [\"services\", \"install\"]]; print(\"Both inline drivers parse\")'"	0	/tmp/hatchi-astra/inline-drivers.log
astra-whitespace	"git diff --check && git diff --cached --check"	0	/tmp/hatchi-astra/whitespace.log
astra-wave2-policy	"./bin/traitor verify srv-hatchi policy"	0	/tmp/hatchi-astra/wave2/policy.log
astra-wave2-app-rejection	"status=0; nix run .#srv-hatchi-install-vm -- --store-paths /nix/store/refused /nix/store/refused || status=$?; test \"$status\" = 2"	0	/tmp/hatchi-astra/wave2/app-rejection.log
astra-wave2-deploy-rejection	"status=0; ./bin/traitor deploy srv-hatchi --dry-run || status=$?; test \"$status\" = 1"	0	/tmp/hatchi-astra/wave2/deploy-rejection.log
astra-wave2-actionlint	"nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	0	/tmp/hatchi-astra/wave2/actionlint.log
astra-wave2-immutable-inputs	"git show c6de1f6:flake.lock > /tmp/hatchi-astra/base.lock; jq -e --slurpfile before /tmp/hatchi-astra/base.lock '. as $after | $before[0] as $before | all($before.nodes.root.inputs | to_entries[]; . as $input | $before.nodes[$input.value].locked == $after.nodes[$after.nodes.root.inputs[$input.key]].locked)' flake.lock && test -z \"$(git diff c6de1f6 --name-only -- hosts/srv-nana \"hosts/dkumlin-*\" modules/home modules/nixos)\" && test -z \"$(git diff c6de1f6 --name-only -- \"*.py\")\""	0	/tmp/hatchi-astra/wave2/immutable-inputs.log
astra-wave2-traitor-check	"traitor check --print-build-logs"	0	/tmp/hatchi-astra/wave2/traitor-check.log
astra-wave2-all-output-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/wave2/all-output-eval.log
astra-wave2-inline-drivers	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScriptString > /tmp/hatchi-astra/services-driver.txt && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.config.testScriptString > /tmp/hatchi-astra/install-driver.txt && python3 -c 'import ast,pathlib; [ast.parse(pathlib.Path(\"/tmp/hatchi-astra/\" + name + \"-driver.txt\").read_text()) for name in [\"services\", \"install\"]]; print(\"Both inline drivers parse\")'"	0	/tmp/hatchi-astra/wave2/inline-drivers.log
astra-wave2-whitespace	"git diff --check && git diff --cached --check"	0	/tmp/hatchi-astra/wave2/whitespace.log
astra-committed-check	"traitor check --print-build-logs"	0	/tmp/hatchi-astra/committed-check.log
astra-native-commit-eval	"cd /tmp/hatchi-astra/commit-51af7a5 && ./bin/traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/commit-51af7a5.log
astra-deploy-commit-eval	"cd /tmp/hatchi-astra/commit-0d0e907 && ./bin/traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/commit-0d0e907.log
astra-first-install	"./bin/traitor verify srv-hatchi install-vm"	0	https://github.com/RestartDK/dotfiles/actions/runs/34657739803/job/103453681432
astra-first-services	"./bin/traitor verify srv-hatchi services-vm"	1	https://github.com/RestartDK/dotfiles/actions/runs/34657739803/job/103453681331
astra-first-linux	"nix build --no-link --print-build-logs --max-jobs 2 .#checks.x86_64-linux.quality .#checks.x86_64-linux.srv-hatchi-policy .#checks.x86_64-linux.srv-hatchi-bootstrap .#checks.x86_64-linux.srv-hatchi-production .#checks.x86_64-linux.srv-hatchi-deploy-rejection .#checks.x86_64-linux.deploy-schema .#checks.x86_64-linux.deploy-activate"	1	https://github.com/RestartDK/dotfiles/actions/runs/34657739803/job/103453681329
astra-mount-fix-check	"traitor check --print-build-logs"	0	/tmp/hatchi-astra/mount-fix-check.log
astra-mount-fix-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/mount-fix-eval.log
astra-wave3-policy	"./bin/traitor verify srv-hatchi policy"	0	/tmp/hatchi-astra/wave3/policy.log
astra-wave3-app-rejection	"status=0; nix run .#srv-hatchi-install-vm -- --store-paths /nix/store/refused /nix/store/refused || status=$?; test \"$status\" = 2"	0	/tmp/hatchi-astra/wave3/app-rejection.log
astra-wave3-deploy-rejection	"status=0; ./bin/traitor deploy srv-hatchi --dry-run || status=$?; test \"$status\" = 1"	0	/tmp/hatchi-astra/wave3/deploy-rejection.log
astra-wave3-actionlint	"nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	0	/tmp/hatchi-astra/wave3/actionlint.log
astra-wave3-immutable-inputs	"git show c6de1f6:flake.lock > /tmp/hatchi-astra/base.lock; jq -e --slurpfile before /tmp/hatchi-astra/base.lock '. as $after | $before[0] as $before | all($before.nodes.root.inputs | to_entries[]; . as $input | $before.nodes[$input.value].locked == $after.nodes[$after.nodes.root.inputs[$input.key]].locked)' flake.lock && test -z \"$(git diff c6de1f6 --name-only -- hosts/srv-nana \"hosts/dkumlin-*\" modules/home modules/nixos)\" && test -z \"$(git diff c6de1f6 --name-only -- \"*.py\")\""	0	/tmp/hatchi-astra/wave3/immutable-inputs.log
astra-wave3-traitor-check	"traitor check --print-build-logs"	0	/tmp/hatchi-astra/wave3/traitor-check.log
astra-wave3-all-output-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/wave3/all-output-eval.log
astra-wave3-inline-drivers	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScriptString > /tmp/hatchi-astra/services-driver.txt && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.config.testScriptString > /tmp/hatchi-astra/install-driver.txt && python3 -c 'import ast,pathlib; [ast.parse(pathlib.Path(\"/tmp/hatchi-astra/\" + name + \"-driver.txt\").read_text()) for name in [\"services\", \"install\"]]; print(\"Both inline drivers parse\")'"	0	/tmp/hatchi-astra/wave3/inline-drivers.log
astra-wave3-whitespace	"git diff --check && git diff --cached --check"	0	/tmp/hatchi-astra/wave3/whitespace.log
astra-second-closures	"./bin/traitor verify srv-hatchi closures"	0	https://github.com/RestartDK/dotfiles/actions/runs/34660883503/job/103462953179
astra-second-deploy	"nix build --no-link --print-build-logs --max-jobs 2 .#checks.x86_64-linux.srv-hatchi-deploy-rejection .#checks.x86_64-linux.deploy-schema .#checks.x86_64-linux.deploy-activate"	0	https://github.com/RestartDK/dotfiles/actions/runs/34660883503/job/103462953179
astra-second-home-manager	"nix eval --raw .#homeConfigurations.twin.activationPackage.drvPath"	0	https://github.com/RestartDK/dotfiles/actions/runs/34660883503/job/103462953179
astra-second-install	"./bin/traitor verify srv-hatchi install-vm"	0	https://github.com/RestartDK/dotfiles/actions/runs/34660883503/job/103462953123
astra-second-services	"./bin/traitor verify srv-hatchi services-vm"	1	https://github.com/RestartDK/dotfiles/actions/runs/34660883503/job/103462953225
astra-third-services	"./bin/traitor verify srv-hatchi services-vm"	1	https://github.com/RestartDK/dotfiles/actions/runs/34661892039/job/103465927617
astra-wave4-policy	"./bin/traitor verify srv-hatchi policy"	0	/tmp/hatchi-astra/wave4/policy.log
astra-wave4-app-rejection	"status=0; nix run .#srv-hatchi-install-vm -- --store-paths /nix/store/refused /nix/store/refused || status=$?; test \"$status\" = 2"	0	/tmp/hatchi-astra/wave4/app-rejection.log
astra-wave4-deploy-rejection	"status=0; ./bin/traitor deploy srv-hatchi --dry-run || status=$?; test \"$status\" = 1"	0	/tmp/hatchi-astra/wave4/deploy-rejection.log
astra-wave4-actionlint	"nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	0	/tmp/hatchi-astra/wave4/actionlint.log
astra-wave4-immutable-inputs	"git show c6de1f6:flake.lock > /tmp/hatchi-astra/base.lock; jq -e --slurpfile before /tmp/hatchi-astra/base.lock '. as $after | $before[0] as $before | all($before.nodes.root.inputs | to_entries[]; . as $input | $before.nodes[$input.value].locked == $after.nodes[$after.nodes.root.inputs[$input.key]].locked)' flake.lock && test -z \"$(git diff c6de1f6 --name-only -- hosts/srv-nana \"hosts/dkumlin-*\" modules/home modules/nixos)\" && test -z \"$(git diff c6de1f6 --name-only -- \"*.py\")\""	0	/tmp/hatchi-astra/wave4/immutable-inputs.log
astra-wave4-traitor-check	"traitor check --print-build-logs"	0	/tmp/hatchi-astra/wave4/traitor-check.log
astra-wave4-all-output-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/wave4/all-output-eval.log
astra-wave4-inline-drivers	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScriptString > /tmp/hatchi-astra/services-driver.txt && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.config.testScriptString > /tmp/hatchi-astra/install-driver.txt && python3 -c 'import ast,pathlib; [ast.parse(pathlib.Path(\"/tmp/hatchi-astra/\" + name + \"-driver.txt\").read_text()) for name in [\"services\", \"install\"]]; print(\"Both inline drivers parse\")'"	0	/tmp/hatchi-astra/wave4/inline-drivers.log
astra-wave4-whitespace	"git diff --check && git diff --cached --check"	0	/tmp/hatchi-astra/wave4/whitespace.log
astra-fourth-services	"./bin/traitor verify srv-hatchi services-vm"	1	https://github.com/RestartDK/dotfiles/actions/runs/34663545232/job/103470794430
astra-wave5-policy	"./bin/traitor verify srv-hatchi policy"	0	/tmp/hatchi-astra/wave5/policy.log
astra-wave5-app-rejection	"status=0; nix run .#srv-hatchi-install-vm -- --store-paths /nix/store/refused /nix/store/refused || status=$?; test \"$status\" = 2"	0	/tmp/hatchi-astra/wave5/app-rejection.log
astra-wave5-deploy-rejection	"status=0; ./bin/traitor deploy srv-hatchi --dry-run || status=$?; test \"$status\" = 1"	0	/tmp/hatchi-astra/wave5/deploy-rejection.log
astra-wave5-actionlint	"nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	0	/tmp/hatchi-astra/wave5/actionlint.log
astra-wave5-immutable-inputs	"git show c6de1f6:flake.lock > /tmp/hatchi-astra/base.lock; jq -e --slurpfile before /tmp/hatchi-astra/base.lock '. as $after | $before[0] as $before | all($before.nodes.root.inputs | to_entries[]; . as $input | $before.nodes[$input.value].locked == $after.nodes[$after.nodes.root.inputs[$input.key]].locked)' flake.lock && test -z \"$(git diff c6de1f6 --name-only -- hosts/srv-nana \"hosts/dkumlin-*\" modules/home modules/nixos)\" && test -z \"$(git diff c6de1f6 --name-only -- \"*.py\")\""	0	/tmp/hatchi-astra/wave5/immutable-inputs.log
astra-wave5-traitor-check	"traitor check --print-build-logs"	0	/tmp/hatchi-astra/wave5/traitor-check.log
astra-wave5-all-output-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/hatchi-astra/wave5/all-output-eval.log
astra-wave5-inline-drivers	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.config.testScriptString > /tmp/hatchi-astra/services-driver.txt && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.config.testScriptString > /tmp/hatchi-astra/install-driver.txt && python3 -c 'import ast,pathlib; [ast.parse(pathlib.Path(\"/tmp/hatchi-astra/\" + name + \"-driver.txt\").read_text()) for name in [\"services\", \"install\"]]; print(\"Both inline drivers parse\")'"	0	/tmp/hatchi-astra/wave5/inline-drivers.log
astra-wave5-whitespace	"git diff --check && git diff --cached --check"	0	/tmp/hatchi-astra/wave5/whitespace.log
